id;emp_code;emp_name;emp_name_en;sys_office_id;office_name;sys_company_id;company_name;status;remarks
1;synthesizing;Sports back up ivory;navigate Croatian Kuna hack;implementation XML Liaison;deploy payment;SSL Savings Account reintermediate;Clothing Chair;DELETE;Bacon evolve
2;Utah Mission;protocol Awesome;Oklahoma;Generic Granite Chicken Auto Loan Account;3rd generation copying;deposit Car;out-of-the-box mobile program;NORMAL;policy
3;Cloned architect;Auto Loan Account;parse capacitor model;systems;Buckinghamshire Computer;methodologies calculating scale;Intranet mint green;DEPARTUTE;Netherlands Antillian Guilder
4;generating neutral;Paradigm solid state;systematic;Synergized generate;turquoise redundant;Applications panel;Small circuit;DEPARTUTE;bypass
5;Polarised;Cotton;Dynamic Ville Movies;Small Plastic Chair;content-based;Forward;Engineer;DELETE;actuating Shoes TCP
6;Generic Fresh Towels;back-end;deliverables;Unbranded Ameliorated;payment Liaison Vermont;streamline navigating open-source;sensor Strategist;DELETE;mint green Kentucky Groves
7;Communications Director Computer;Fish;ROI;quantifying;Macedonia Executive;AI;Bahrain wireless Mali;DELETE;initiatives Frozen
8;overriding Bermudian Dollar (customarily known as Bermuda Dollar);AI Ports;Finland Licensed Granite Computer cross-platform;Associate neural;pink Synergized;Gibraltar;input Andorra yellow;DEPARTUTE;Park Producer quantify
9;Bahamas;Hollow;interactive target primary;withdrawal navigating;Licensed web services;mint green;Gorgeous impactful;DEPARTUTE;azure Global
10;Table Kwacha;Gloves Auto Loan Account customized;client-driven Analyst Rubber;Electronics;Legacy invoice;help-desk;Personal Loan Account Refined RAM;DELETE;Liaison Saint Helena Pound
