id;company_code;parent_code;parent_codes;tree_sort;tree_sorts;tree_leaf;tree_level;tree_names;view_code;company_name;full_name;area_code;status;remarks
1;target;compress UAE Dirham Dam;Wells;94430;42618;false;45138;Hat neural Guinea Franc;bypassing;Kroon deposit systemic;Liaison Grocery capacitor;applications invoice unleash;DISABLE;e-services
2;program override red;payment efficient RSS;Vietnam Mouse;20370;86862;false;77659;connect;Saint Martin Kids back-end;Automotive;Orchestrator indigo Manors;Rubber;DELETE;architectures
3;Networked;Handcrafted Rubber Gloves;South Carolina;43324;31036;true;45522;Health;Jordanian Dinar;Walks Credit Card Account;payment;XSS solid state Handmade Granite Fish;NORMAL;Planner
4;Health;Savings Account Rupiah;back up Tactics;7241;51771;true;8786;revolutionary Sports Fantastic;benchmark Planner;Solomon Islands Dollar;overriding Rustic Metal Computer Web;circuit;DELETE;Generic Granite Gloves capacitor
5;Assurance Auto Loan Account cross-platform;indexing Handcrafted;Malta Auto Loan Account online;48090;64357;false;52640;system;protocol;Profound Shoes;Savings Account utilisation Hill;Pizza redundant deposit;NORMAL;Fundamental Designer
6;Borders Intelligent whiteboard;Practical Steel Mouse;indexing;17419;86827;true;72716;program e-commerce;array parse;Awesome Fresh Hat New Jersey;Clothing target;HDD Forward;DELETE;National
7;benchmark;invoice program;synthesize;40531;90903;true;17968;Implemented Analyst;applications;Berkshire;Refined;Pike Borders;DISABLE;envisioneer Coordinator
8;SMTP;matrices;Savings Account redefine Multi-channelled;23467;23605;true;7349;Gloves Jordan;Uganda Shilling Cotton;Persevering Personal Loan Account;De-engineered strategic integrate;array payment;NORMAL;Utah COM
9;Botswana;zero defect;Granite;23113;93660;false;3934;Concrete Estate;Incredible Sleek Arizona;Shirt Architect Developer;Automotive;invoice;NORMAL;Tugrik Wooden
10;Plastic;capacitor;feed;16238;96991;false;9390;Swiss Franc communities XSS;Quality-focused;parsing Identity;Health Polarised transmitting;Rhode Island Music Data;DELETE;whiteboard payment Incredible
